id,product_type,id_sex
c71a3dc0c95bdbcb7a659aabf3d90173,Product_A,F
59e3eef04de2036b9e6eec4b1e6ee96d,Product_C,M
59e3eef04de2036b9e6eec4b1e6ee96d,Product_C,M
5dc57c4e70a4d180b2a2d9c54f89557c,Product_A,F
dc048e98d9962c8cdb4344cfc1b5c633,Product_A,F
3d8f8d95c2d4f1f0e73ce9c8c57eb02b,Product_A,F
c71a3dc0c95bdbcb7a659aabf3d90173,Product_A,F
bf4959c6d40fbea089ca1ec5453af78a,Product_B,M
057b30ab554807199f590ad6e0a368f6,Product_B,M
d93aa250a99782b2b5b81eacbc3472b9,Product_A,M
9c59261a6d18a434f89497a726e77c22,Product_C,M
eb31fd19fd7e501bd5ce2aa98c63beaa,Product_A,F
a97fc5cc52194b92e6650fe2b4697e67,Product_A,M
b8a784f7b92d5100bffdee0ab05f637e,Product_A,M
6e305ef9427b55c623cdb16ac7b190bf,Product_A,F
6e305ef9427b55c623cdb16ac7b190bf,Product_B,F
6e305ef9427b55c623cdb16ac7b190bf,Product_B,F
0197cf0076d64a9ff1b5620ca2e174d6,Product_A,F
f4cee60e808337c9d85ebc714a87619c,Product_A,M
b1efabf813734e7b2bcf7041054cf7de,Product_C,M
0c379729ef5d337970b6b6e41dcf44b8,Product_B,M
0660801b65a526f830be1ab20f78a57f,Product_B,F
52aefdbb4812c3bd89e127d12e34dbb0,Product_C,M
9d0d69b49df9fdafb3eb9e5b84aa19af,Product_C,M
9d0d69b49df9fdafb3eb9e5b84aa19af,Product_C,M
9d0d69b49df9fdafb3eb9e5b84aa19af,Product_C,M
111f19715579770585e69b078b014bd4,Product_C,F
e91b20c83db30f55a2946175b259dc9d,Product_A,F
1e4da3bd227fdf9af4b92bb6b056ca70,Product_A,M
f391e3f4e8354351da99021b4872cd22,Product_B,F
e2a69f9ad8804266affcf046676847bc,Product_A,M
3d58b0784413f98959ab0822373f8fe3,Product_A,F
f45c41b92380bdc07647966f8fe5a5bc,Product_A,F
83ee535d13a54ece1c2341d3d33c1bc3,Product_A,F
a54cc304a8e8cd34766a254f9bd5dc34,Product_A,M
91d8d9af13f4da4bcf8bc659a36808d6,Product_A,F
74e4536525c8c512819115e5d81894b6,Product_A,F
50efae49837be86fb2db04dab16d5ed4,Product_A,F
99d30a8f8a4bbe6735035b3b264bc3d8,Product_A,M
20288721b07e6997cfa24f882b9ab647,Product_A,F
79f162cdb2d99b0e66cbee3b62742dcf,Product_C,M
4d3bd94f7f1a0c0816c8476d1088aaf2,Product_B,F
3671253d325b2241b7e90c5079e789ed,Product_B,F
c55df49657d1787a3c50e56a56e06be5,Product_B,M
